sportsman_id,first_name,last_name,age,sex,biography,club_id
1,Дмитрий,Озерцов,30,MALE,"Результативный хоккеист, который родился в г.Новосибирск",3
2,Виктор,Баринов,15,MALE,"Юноша, который стал легендой силового спорта",4
3,Вероника,Солнцева,25,FEMALE,"Достигла потрясающих результатов в теннисе",2
4,Борис,Безудержный,28,MALE,"Вратарь хоккейной команды, который родился в г.Новосибирск",3
5,Светлана,Стальная,23,FEMALE,"Выдающаяся фехтовальщица, которая родилась в г. Москва",6
6,Виктор,Елисеев,33,MALE,"Играет в хоккей с десяти лет. Начал свой путь в этом спорте в г. Новосибирск",3
7,Анна,Миронова,27,FEMALE,"Известная шахматистка, обладательница множества наград",7
8,Михаил,Козлов,29,MALE,"Выдающийся пловец, который родился в г. Санкт-Петербург",8
9,Ольга,Захарова,22,FEMALE,"Молодая и перспективная легкоатлетка из г. Казань",5
10,Алексей,Князев,26,MALE,"Чемпион по боксу, родился в г. Ростов-на-Дону",4
11,Мария,Лебедева,24,FEMALE,"Успешная фехтовальщица, победительница многих международных соревнований",6
12,Иван,Сидоров,32,MALE,"Опытный футболист, который неоднократно выигрывал соревнования по всей стране",1
13,Екатерина,Воробьева,21,FEMALE,"Подающая надежды теннисистка",2
14,Андрей,Петров,30,MALE,"Профессиональный тяжелоатлет, неоднократный чемпион России",4
15,Людмила,Крылова,28,FEMALE,"Опытная волейболистка, участница множества международных турниров",5
16,Роман,Захаров,19,MALE,"Перспективный хоккеист, играющий в областном хоккейном клубе",3
17,Алина,Кузнецова,26,FEMALE,"Начала заниматься фехтованием, когда ей было 7 лет",6
18,Никита,Иванов,34,MALE,"Специалист по легкой атлетике, который родился в г. Томск",5
19,София,Романова,27,FEMALE,"Выдающаяся пловчиха, участница Олимпийских игр",8
20,Денис,Семенов,31,MALE,"Успешный боксер с множеством побед",4
21,Вера,Никитина,23,FEMALE,"Легкоатлетка, участница чемпионатов мира",5
22,Артем,Федоров,18,MALE,"Футбольный нападающий",1
23,Полина,Макарова,25,FEMALE,"Теннисистка, завоевавшая ряд международных наград",2
24,Максим,Орлов,29,MALE,"Футбольный вратарь",1
25,Юлия,Новикова,22,FEMALE,"Тяжелоатлет, подающая надежды",4
26,Дмитрий,Борисов,33,MALE,"Пловец, неоднократный чемпион России",8
27,Елена,Смирнова,24,FEMALE,"Фехтовальщица, чемпионка Европы",6
28,Кирилл,Александров,27,MALE,"Легкоатлет, участник Олимпийских игр",5
29,Надежда,Попова,26,FEMALE,"Волейболистка, играющая за клуб легкой атлетики",5
30,Сергей,Михайлов,14,MALE,"Шахматист-любитель",7
